1	9.2	Skazani na Shawshank (1994)	596,718
2	9.2	Ojciec chrzestny (1972)	460,927
3	9.0	Ojciec chrzestny II (1974)	281,735
4	8.9	Dobry, zly i brzydki (1966)	188,534
5	8.9	Pulp Fiction (1994)	473,995
6	8.9	Dwunastu gniewnych ludzi (1957)	142,413
7	8.9	Lista Schindlera (1993)	315,264
8	8.8	Lot nad kukulczym gniazdem (1975)	246,786
9	8.8	Incepcja (2010)	354,293
10	8.8	Mroczny rycerz (2008)	533,121
11	8.8	Gwiezdne wojny, czesc V: Imperium kontratakuje (1980)	311,127
12	8.8	Wladca pierscieni: Powrót króla (2003)	413,506
13	8.8	Siedmiu samurajów (1954)	109,014
14	8.8	Podziemny krag (1999)	441,041
15	8.7	Chlopcy z ferajny (1990)	261,669
16	8.7	Gwiezdne wojny (1977)	354,811
17	8.7	Casablanca (1942)	185,445
18	8.7	Wladca pierscieni: Druzyna pierscienia (2001)	436,199
19	8.7	Miasto Boga (2002)	193,192
20	8.7	Pewnego razu na Dzikim Zachodzie (1968)	86,681
21	8.7	Okno na podwórze (1954)	134,048
22	8.7	Poszukiwacze zaginionej arki (1981)	270,232
23	8.7	Matrix (1999)	433,067
24	8.7	Psychoza (1960)	163,297
25	8.7	Podejrzani (1995)	298,150
26	8.7	Milczenie owiec (1991)	282,434
27	8.6	Siedem (1995)	324,012
28	8.6	To wspaniale zycie (1946)	115,103
29	8.6	Memento (2000)	314,718
30	8.6	Wladca pierscieni: Dwie wieze (2002)	369,781
31	8.6	Forrest Gump (1994)	352,541
32	8.6	Bulwar Zachodzacego Slonca (1950)	62,674
33	8.6	Leon zawodowiec (1994)	234,884
34	8.6	Toy Story 3 (2010)	131,494
35	8.6	Dr Strangelove, czyli jak przestalem sie martwic i pokochalem bombe (1964)	171,083
36	8.6	Czas Apokalipsy (1979)	193,463
37	8.6	Obywatel Kane (1941)	151,505
38	8.5	Wiezien nienawisci (1998)	259,697
39	8.5	Pólnoc, pólnocny zachód (1959)	103,942
40	8.5	American Beauty (1999)	328,330
41	8.5	Taksówkarz (1976)	180,189
42	8.5	Terminator 2: Dzien sadu (1991)	270,790
43	8.5	Szeregowiec Ryan (1998)	306,350
44	8.5	Obcy - 8. pasazer Nostromo (1979)	203,333
45	8.5	Zawrót glowy (1958)	102,924
46	8.5	Amelia (2001)	208,147
47	8.5	Spirited Away: W krainie bogów (2001)	120,082
48	8.5	Lsnienie (1980)	204,804
49	8.5	Sciezki chwaly (1957)	51,065
50	8.5	WALL·E (2008)	218,273
51	8.5	Swiatla wielkiego miasta (1931)	33,573
52	8.5	Pianista (2002)	156,662
53	8.5	Podwójne ubezpieczenie (1944)	42,392
54	8.5	Lawrence z Arabii (1962)	87,712
55	8.5	M - morderca (1931)	45,211
56	8.5	Mechaniczna pomarancza (1971)	218,270
57	8.5	Zycie na podsluchu (2006)	88,606
58	8.4	Infiltracja (2006)	303,765
59	8.4	Zabic drozda (1962)	91,629
60	8.4	Obcy - decydujace starcie (1986)	189,347
61	8.4	Zakochany bez pamieci (2004)	251,448
62	8.4	Requiem dla snu (2000)	213,530
63	8.4	Okret (1981)	77,343
64	8.4	Dzisiejsze czasy (1936)	41,995
65	8.4	Wsciekle psy (1992)	239,346
66	8.4	Trzeci czlowiek (1949)	56,232
67	8.4	Tajemnice Los Angeles (1997)	182,005
68	8.4	Zycie jest piekne (1997)	126,523
69	8.4	Chinatown (1974)	88,358
70	8.4	Powrót do przyszlosci (1985)	235,119
71	8.4	Skarb Sierra Madre (1948)	37,219
72	8.4	Prestiz (2006)	246,723
73	8.4	Monty Python i swiety Graal (1975)	171,390
74	8.4	Cinema Paradiso (1988)	52,494
75	8.4	Wsciekly byk (1980)	101,273
76	8.3	Zielona mila (1999)	233,184
77	8.3	Labirynt fauna (2006)	179,217
78	8.3	Dawno temu w Ameryce (1984)	82,558
79	8.3	Deszczowa piosenka (1952)	61,952
80	8.3	Rashomon (1950)	44,956
81	8.3	Pól zartem, pól serio (1959)	75,524
82	8.3	Amadeusz (1984)	109,736
83	8.3	Most na rzece Kwai (1957)	65,590
84	8.3	Wszystko o Ewie (1950)	38,838
85	8.3	Zlodzieje rowerów (1948)	32,176
86	8.3	Full Metal Jacket (1987)	173,415
87	8.3	Dyktator (1940)	43,076
88	8.3	2001: Odyseja kosmiczna (1968)	178,366
89	8.3	Czarny labedz (2010)	130,932
90	8.3	Braveheart - Waleczne serce (1995)	271,955
91	8.3	Garsoniera (1960)	41,479
92	8.3	Bekarty wojny (2009)	226,802
93	8.3	Gladiator (2000)	321,191
94	8.3	Metropolis (1927)	45,644
95	8.3	Upadek (2004)	95,380
96	8.3	Oldboy (2003)	114,387
97	8.3	Bez przebaczenia (1992)	112,842
98	8.3	Odlot (2009)	147,857
99	8.3	Zadlo (1973)	74,046
100	8.3	Gran Torino (2008)	159,391
101	8.3	Czlowiek slon (1980)	66,583
102	8.3	Mr. Smith jedzie do Waszyngtonu (1939)	37,041
103	8.3	Sokól maltanski (1941)	56,790
104	8.3	Gwiezdne wojny, czesc VI: Powrót Jedi (1983)	235,058
105	8.3	Na nabrzezach (1954)	46,140
106	8.3	Indiana Jones i ostatnia krucjata (1989)	191,390
107	8.3	Rebeka (1940)	39,282
108	8.3	Sin City: Miasto grzechu (2005)	286,059
109	8.3	Ksiezniczka Mononoke (1997)	75,145
110	8.3	Szklana pulapka (1988)	206,584
111	8.3	Wielka ucieczka (1963)	69,729
112	8.3	Siódma pieczec (1957)	43,088
113	8.3	Jak zostac królem (2010)	85,286
114	8.2	Batman - Poczatek (2005)	304,949
115	8.2	Lowca androidów (1982)	204,649
116	8.2	General (1926)	22,830
117	8.2	Fargo (1996)	182,819
118	8.2	Goraczka (1995)	163,811
119	8.2	Szczeki (1975)	156,166
120	8.2	Hotel Ruanda (2004)	105,429
121	8.2	Za kilka dolarów wiecej (1965)	52,315
122	8.2	Straz przyboczna (1961)	32,965
123	8.2	To nie jest kraj dla starych ludzi (2007)	228,640
124	8.2	Grobowiec swietlików (1988)	40,781
125	8.2	Dotyk zla (1958)	36,155
126	8.2	Ran (1985)	38,219
